,Event,Dates,Location,Description
1677,Rodgers & Hammerstein’s Cinderella,2022-11-20,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
1678,Halcyon: Sunday Funday,2022-11-20,Halcyon Forsyth,Shake off the Sunday scaries and have a Sunday Funday at Halcyon. Enjoy a delicious…
1679,“The Tempest”,2022-11-21,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1680,2022 Georgia Festival of Trees,2022-11-21,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1681,FIFA World Cup 2022™ Watch Parties,2022-11-21,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
1682,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-21,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1683,Aldabra Tortoise Wild Encounter,2022-11-21,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
1684,Fall Safari Camp,2022-11-21,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Fall Break!…
1685,Celebration at the Station,2022-11-21,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1686,Holiday Tree Market in the Courtyard,2022-11-21,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1687,Spruill Gallery Holiday Artists Market,2022-11-21,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1688,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-21,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1689,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-21,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
1690,Delicious Thanksgiving Offerings from Fox Bros BBQ,2022-11-21,Fox Bros. Bar-B-Q,Fox Bros. Bar-B-Q welcomes another year of holiday tradition with their beloved Thanksgiving catering menu….
1691,PAW Patrol: Adventure Play,2022-11-21,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1692,Reindeer Road by World of Illumination,2022-11-21,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1693,Holiday Catering with Grecian Gyro,2022-11-21,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1694,Shine Light Show at Coolray Field,2022-11-21,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1695,Castleberry Farmers Market,2022-11-21,Castleberry Farmers Market,"Local unique weekday farmers market that features an array of farmers, bakers, artisans and other…"
1696,Stem Wine Bar’s November Tastings: Amazing America,2022-11-21,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1697,Holiday in the Park,2022-11-21,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1698,“In Hope for a Better Future” Art Exhibition,2022-11-21,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1699,Harry Potter: The Exhibition,2022-11-21,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1700,Maker’s Market,2022-11-21,Atlantic Green,
1701,Yu-Gi-Oh! Mondays,2022-11-21,Caffeinated Gamers,Official (but friendly) Event! We have Yu-Gi-Oh! tournaments every Monday. This event is good for…
1702,World of Illumination,2022-11-21,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1703,Skate the Station,2022-11-21,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1704,Candlelight: A Tribute to Beyonce,2022-11-21,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1705,Giant Panda Wild Encounter,2022-11-21,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
1706,Rudolph the Red-Nosed Reindeer,2022-11-21,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1707,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-21,Chick-fil-A College Football Hall of Fame,
1708,WildWoods AGLOW,2022-11-21,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1709,Winter Wonderland at Fernbank,2022-11-21,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1710,Elephant Wild Encounter,2022-11-21,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
1711,Ancient Engraved Gemstones,2022-11-21,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1712,OnStage Atlanta presents The Cemetery Club,2022-11-21,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
1713,Waking Wonderland: An Immersive Experience,2022-11-21,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1714,USA vs. Wales World Cup Watch Party,2022-11-21,Park Tavern,USA vs. Wales World Cup Watch Party Presented By World Soccer Shop Doors at Noon….
1715,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-21,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1716,Claude Monet Immersive Exhibit,2022-11-21,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1717,"Garden Lights, Holiday Nights",2022-11-21,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1718,Free Birds–$ 2.00 Fall Flick at Aurora Cineplex,2022-11-21,Aurora Cineplex,FREE BIRDS ( PG)–our $ 2.00 Fall Family Flicks at Aurora Cineplex. Just in time…
1719,Stranger Things: The Experience,2022-11-21,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1720,The Colors of Peace Exhibit,2022-11-21,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1721,Reindeer Road by World of Illumination,2022-11-22,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1722,Free Birds–$ 2.00 Fall Flick at Aurora Cineplex,2022-11-22,Aurora Cineplex,FREE BIRDS ( PG)–our $ 2.00 Fall Family Flicks at Aurora Cineplex. Just in time…
1723,Stranger Things: The Experience,2022-11-22,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1724,The Colors of Peace Exhibit,2022-11-22,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1725,A Christmas Carol,2022-11-22,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
1726,“The Tempest”,2022-11-22,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1727,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-22,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1728,ATEEZ – The Fellowship: Break The Wall Tour,2022-11-22,State Farm Arena,K-pop giants ATEEZ have announced a monumental world tour later in 2022 promoting their new…
1729,Shine Light Show at Coolray Field,2022-11-22,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1730,Holiday Catering with Grecian Gyro,2022-11-22,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1731,“In Hope for a Better Future” Art Exhibition,2022-11-22,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1732,Fall Safari Camp,2022-11-22,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Fall Break!…
1733,FIFA World Cup 2022™ Watch Parties,2022-11-22,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
1734,$1 Happy Hour Oysters,2022-11-22,Biggerstaff Brewing Company,
1735,"Garden Lights, Holiday Nights",2022-11-22,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1736,Claude Monet Immersive Exhibit,2022-11-22,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1737,Bobby Shmurda – The Bodman Tour,2022-11-22,Tabernacle Atlanta,Brooklyn-based artist Bobby Shmurda has announced a fall 2022 tour across America behind his new…
1738,World of Illumination,2022-11-22,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1739,Winter Wonderland at Fernbank,2022-11-22,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1740,WildWoods AGLOW,2022-11-22,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1741,Candlelight: A Tribute to Beyonce,2022-11-22,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1742,Harry Potter Trivia Series,2022-11-22,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
1743,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-22,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
1744,Celebration at the Station,2022-11-22,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1745,Spruill Gallery Holiday Artists Market,2022-11-22,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1746,Stephen Burks Shelter in Place,2022-11-22,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
1747,Deana Lawson Exhibit,2022-11-22,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
1748,OnStage Atlanta presents The Cemetery Club,2022-11-22,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
1749,Stem Wine Bar’s November Tastings: Amazing America,2022-11-22,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1750,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-22,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1751,Harry Potter: The Exhibition,2022-11-22,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1752,Delicious Thanksgiving Offerings from Fox Bros BBQ,2022-11-22,Fox Bros. Bar-B-Q,Fox Bros. Bar-B-Q welcomes another year of holiday tradition with their beloved Thanksgiving catering menu….
1753,Holiday in the Park,2022-11-22,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1754,2022 Georgia Festival of Trees,2022-11-22,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1755,PAW Patrol: Adventure Play,2022-11-22,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1756,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-22,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1757,Holiday Tree Market in the Courtyard,2022-11-22,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1758,Waking Wonderland: An Immersive Experience,2022-11-22,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1759,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-22,Chick-fil-A College Football Hall of Fame,
1760,Maker’s Market,2022-11-22,Atlantic Green,
1761,Rudolph the Red-Nosed Reindeer,2022-11-22,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1762,Skate the Station,2022-11-22,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1763,Ancient Engraved Gemstones,2022-11-22,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1764,OnStage Atlanta presents The Cemetery Club,2022-11-23,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
1765,"Garden Lights, Holiday Nights",2022-11-23,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1766,Biggerstaff Brewing Company Trivia,2022-11-23,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
1767,Dungeons and Dragons One Shot Adventure Wednesdays,2022-11-23,Caffeinated Gamers,"Whether you’re an experienced adventurer or have never played D&D, this is the event for…"
1768,FIFA World Cup 2022™ Watch Parties,2022-11-23,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
1769,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-23,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1770,Maker’s Market,2022-11-23,Atlantic Green,
1771,Atlanta Hawks vs. Sacramento Kings,2022-11-23,State Farm Arena,Come cheer on the Hawks as they take on the Sacramento Kings on November 23rd…
1772,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-23,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1773,Deana Lawson Exhibit,2022-11-23,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
1774,World of Illumination,2022-11-23,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1775,Drinksgiving!,2022-11-23,UrbanTree Cidery,Join us for our first ever Drinksgiving!   The tasting room will be open the…
1776,Spruill Gallery Holiday Artists Market,2022-11-23,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1777,Winter Wonderland at Fernbank,2022-11-23,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1778,Candlelight: A Tribute to Beyonce,2022-11-23,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1779,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-23,Chick-fil-A College Football Hall of Fame,
1780,Ancient Engraved Gemstones,2022-11-23,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1781,WildWoods AGLOW,2022-11-23,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1782,Claude Monet Immersive Exhibit,2022-11-23,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1783,Fall Safari Camp,2022-11-23,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Fall Break!…
1784,Holiday Tree Market in the Courtyard,2022-11-23,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1785,Wednesday Night Laughs,2022-11-23,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
1786,Rudolph the Red-Nosed Reindeer,2022-11-23,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1787,Celebration at the Station,2022-11-23,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1788,Stranger Things: The Experience,2022-11-23,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1789,Waking Wonderland: An Immersive Experience,2022-11-23,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1790,Holiday in the Park,2022-11-23,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1791,“The Tempest”,2022-11-23,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1792,Reindeer Road by World of Illumination,2022-11-23,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1793,2022 Georgia Festival of Trees,2022-11-23,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1794,Delicious Thanksgiving Offerings from Fox Bros BBQ,2022-11-23,Fox Bros. Bar-B-Q,Fox Bros. Bar-B-Q welcomes another year of holiday tradition with their beloved Thanksgiving catering menu….
1795,The Colors of Peace Exhibit,2022-11-23,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1796,Stephen Burks Shelter in Place,2022-11-23,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
1797,Cirque Du Soleil – Kurios,2022-11-23,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
1798,Stem Wine Bar’s November Tastings: Amazing America,2022-11-23,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1799,Harry Potter: The Exhibition,2022-11-23,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1800,Finely Crafted: Cocktails and Comedy,2022-11-23,Atlanta,
1801,“In Hope for a Better Future” Art Exhibition,2022-11-23,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1802,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-23,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
1803,Shine Light Show at Coolray Field,2022-11-23,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1804,Skate the Station,2022-11-23,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1805,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-23,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1806,Holiday Catering with Grecian Gyro,2022-11-23,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1807,Gurl Mobb Museum- Selfie museum in Atlanta,2022-11-23,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
1808,PAW Patrol: Adventure Play,2022-11-23,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1809,Reindeer Road by World of Illumination,2022-11-24,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1810,World of Illumination,2022-11-24,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1811,"$5 Pints, $10 Crowlers ALL DAY",2022-11-24,Biggerstaff Brewing Company,3 beer options and they change every week! Special runs ALL DAY! $5 Select Pints…
1812,Stephen Burks Shelter in Place,2022-11-24,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
