,Event,Dates,Location,Description
1921,2022 Georgia Festival of Trees,2022-11-21,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1922,Fall Safari Camp,2022-11-21,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Fall Break!…
1923,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-21,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1924,Stranger Things: The Experience,2022-11-21,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1925,FIFA World Cup 2022™ Watch Parties,2022-11-21,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
1926,Winter Wonderland at Fernbank,2022-11-21,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1927,Waking Wonderland: An Immersive Experience,2022-11-21,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1928,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-21,Chick-fil-A College Football Hall of Fame,
1929,Holiday Catering with Grecian Gyro,2022-11-21,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1930,Claude Monet Immersive Exhibit,2022-11-21,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1931,Stem Wine Bar’s November Tastings: Amazing America,2022-11-21,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1932,Castleberry Farmers Market,2022-11-21,Castleberry Farmers Market,"Local unique weekday farmers market that features an array of farmers, bakers, artisans and other…"
1933,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-21,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1934,“The Tempest”,2022-11-21,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1935,Celebration at the Station,2022-11-21,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1936,Rudolph the Red-Nosed Reindeer,2022-11-21,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1937,Shine Light Show at Coolray Field,2022-11-21,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1938,Free Birds–$ 2.00 Fall Flick at Aurora Cineplex,2022-11-21,Aurora Cineplex,FREE BIRDS ( PG)–our $ 2.00 Fall Family Flicks at Aurora Cineplex. Just in time…
1939,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-21,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
1940,Aldabra Tortoise Wild Encounter,2022-11-21,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
1941,Skate the Station,2022-11-21,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1942,“In Hope for a Better Future” Art Exhibition,2022-11-21,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1943,USA vs. Wales World Cup Watch Party,2022-11-21,Park Tavern,USA vs. Wales World Cup Watch Party Presented By World Soccer Shop Doors at Noon….
1944,Holiday in the Park,2022-11-21,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1945,The Colors of Peace Exhibit,2022-11-21,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1946,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-21,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1947,WildWoods AGLOW,2022-11-21,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1948,Holiday Tree Market in the Courtyard,2022-11-21,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1949,PAW Patrol: Adventure Play,2022-11-21,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1950,Elephant Wild Encounter,2022-11-21,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
1951,Yu-Gi-Oh! Mondays,2022-11-21,Caffeinated Gamers,Official (but friendly) Event! We have Yu-Gi-Oh! tournaments every Monday. This event is good for…
1952,Harry Potter: The Exhibition,2022-11-22,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1953,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-22,Chick-fil-A College Football Hall of Fame,
1954,Candlelight: A Tribute to Beyonce,2022-11-22,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1955,“The Tempest”,2022-11-22,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1956,Maker’s Market,2022-11-22,Atlantic Green,
1957,Deana Lawson Exhibit,2022-11-22,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
1958,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-22,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
1959,OnStage Atlanta presents The Cemetery Club,2022-11-22,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
1960,FIFA World Cup 2022™ Watch Parties,2022-11-22,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
1961,Stephen Burks Shelter in Place,2022-11-22,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
1962,Fall Safari Camp,2022-11-22,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Fall Break!…
1963,Waking Wonderland: An Immersive Experience,2022-11-22,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1964,$1 Happy Hour Oysters,2022-11-22,Biggerstaff Brewing Company,
1965,Bobby Shmurda – The Bodman Tour,2022-11-22,Tabernacle Atlanta,Brooklyn-based artist Bobby Shmurda has announced a fall 2022 tour across America behind his new…
